citation_id,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,temperature,trait,statistic,sample_size,SE,extraction_note,nutrients_type,nutrients_concentration,water_volume_at_larva_stage,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,lab,Table 1,20,0.89,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,lab,Table 1,24,0.7,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,lab,Table 1,28,0.53,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,lab,Table 1,32,0.38,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field,Table 1,16,0.83,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field,Table 1,20,0.82,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field,Table 1,24,0.81,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field,Table 1,28,0.61,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field,Table 1,32,0.34,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Mpho_2002_Heredity,Culex,yes,not specified,not specified,Cpip,likely pipiens pipiens since collected in UK aboveground,7,NA,NA,Text,25,0.39,mean,NA,0.033,,fish food,unclear,140ml per 25 larvae,NA,NA,field,"garden water butt in Reading, Berkshire, England, June 1998",NA,NA,NA,
Mpho_2002_Heredity,Culex,yes,not specified,not specified,Cpip,likely pipiens pipiens since collected in UK aboveground,7,NA,NA,Text,30,0.43,mean,NA,0.039,,fish food,unclear,140ml per 25 larvae,NA,NA,field,"garden water butt in Reading, Berkshire, England, June 1998",NA,NA,NA,
Mpho_2002_Heredity,Culex,yes,not specified,not specified,Cpip,likely pipiens pipiens since collected in UK aboveground,7,NA,NA,Text,37,0.19,mean,NA,0.02,,fish food,unclear,140ml per 25 larvae,NA,NA,field,"garden water butt in Reading, Berkshire, England, June 1998",NA,NA,NA,
Mpho_2002_EurJEnt,Culex,yes,not specified,not specified,Cqui,likely quinquefasciatus since collected in India,8,strain,Kotta,Table 1,25,0.8383,mean,6 replicates a 30,0.04,,fish food,unclear,100ml per 30 larvae,NA,NA,field,"collected in 1999 from the field as egg rafts from a filariasis endemic area of India where it had been constantly exposed to insecticides such as organophosphates, pyrethroids and carbamates.",NA,NA,bred under laboratory conditions forjust one generation prior to the experimentation. Eggs  were hatched at 25°C and 85% relative humidity in plastic rearing trays (35 cm x 24 cm x 5 cm) con­ taining 1.5 L of tap water.,measured from 2nd instar
Mpho_2002_EurJEnt,Culex,yes,not specified,not specified,Cqui,likely quinquefasciatus since collected in India,8,strain,Kotta,Table 1,30,0.9445,mean,6 replicates a 30,0.0268,,fish food,unclear,100ml per 30 larvae,NA,NA,field,"collected in 1999 from the field as egg rafts from a filariasis endemic area of India where it had been constantly exposed to insecticides such as organophosphates, pyrethroids and carbamates.",NA,NA,bred under laboratory conditions forjust one generation prior to the experimentation. Eggs  were hatched at 25°C and 85% relative humidity in plastic rearing trays (35 cm x 24 cm x 5 cm) con­ taining 1.5 L of tap water.,measured from 2nd instar
Mpho_2002_EurJEnt,Culex,yes,not specified,not specified,Cqui,likely quinquefasciatus since collected in India,8,strain,Kotta,Table 1,37,0.4867,mean,6 replicates a 30,0.0541,,fish food,unclear,100ml per 30 larvae,NA,NA,field,"collected in 1999 from the field as egg rafts from a filariasis endemic area of India where it had been constantly exposed to insecticides such as organophosphates, pyrethroids and carbamates.",NA,NA,bred under laboratory conditions forjust one generation prior to the experimentation. Eggs  were hatched at 25°C and 85% relative humidity in plastic rearing trays (35 cm x 24 cm x 5 cm) con­ taining 1.5 L of tap water.,measured from 2nd instar
Mpho_2002_EurJEnt,Culex,yes,not specified,not specified,Cqui,likely quinquefasciatus due to strain name and references,9,strain,Temix,Table 1,25,0.4833,mean,6 replicates a 30,0.0352,,fish food,unclear,100ml per 30 larvae,NA,NA,lab,NA,unclear,OP resistant laboratory strain that was obtained by crossing S-LAB with TEM-R,Eggs  were hatched at 25°C and 85% relative humidity in plastic rearing trays (35 cm x 24 cm x 5 cm) con­ taining 1.5 L of tap water.,measured from 2nd instar
Mpho_2002_EurJEnt,Culex,yes,not specified,not specified,Cqui,likely quinquefasciatus due to strain name and references,9,strain,Temix,Table 1,30,0.5056,mean,6 replicates a 30,0.0554,,fish food,unclear,100ml per 30 larvae,NA,NA,lab,NA,unclear,OP resistant laboratory strain that was obtained by crossing S-LAB with TEM-R,Eggs  were hatched at 25°C and 85% relative humidity in plastic rearing trays (35 cm x 24 cm x 5 cm) con­ taining 1.5 L of tap water.,measured from 2nd instar
Mpho_2002_EurJEnt,Culex,yes,not specified,not specified,Cqui,likely quinquefasciatus due to strain name and references,9,strain,Temix,Table 1,37,0.1667,mean,6 replicates a 30,0.0404,,fish food,unclear,100ml per 30 larvae,NA,NA,lab,NA,unclear,OP resistant laboratory strain that was obtained by crossing S-LAB with TEM-R,Eggs  were hatched at 25°C and 85% relative humidity in plastic rearing trays (35 cm x 24 cm x 5 cm) con­ taining 1.5 L of tap water.,measured from 2nd instar
Mpho_2002_EurJEnt,Culex,yes,not specified,not specified,Cqui,likely quinquefasciatus due to strain name and references,10,strain,S-lab,Table 1,25,0.9,mean,6 replicates a 30,0.0333,,fish food,unclear,100ml per 30 larvae,NA,NA,lab,NA,unclear,S-LAB is the standard laboratory insecticide susceptible strain that has been reared continually in the laboratory without exposure to insecticides,,measured from 2nd instar
Mpho_2002_EurJEnt,Culex,yes,not specified,not specified,Cqui,likely quinquefasciatus due to strain name and references,10,strain,S-lab,Table 1,30,0.525,mean,6 replicates a 30,0.0316,,fish food,unclear,100ml per 30 larvae,NA,NA,lab,NA,unclear,S-LAB is the standard laboratory insecticide susceptible strain that has been reared continually in the laboratory without exposure to insecticides,,measured from 2nd instar
Mpho_2002_EurJEnt,Culex,yes,not specified,not specified,Cqui,likely quinquefasciatus due to strain name and references,10,strain,S-lab,Table 1,37,0.2083,mean,6 replicates a 30,0.1142,,fish food,unclear,100ml per 30 larvae,NA,NA,lab,NA,unclear,S-LAB is the standard laboratory insecticide susceptible strain that has been reared continually in the laboratory without exposure to insecticides,,measured from 2nd instar
Olejnicek_2000,Culex,yes,pipiens ,molestus,Cmol,unambigious,11,strain,Cuba,Table 1,15,0.32,NA,NA,NA,,NA,NA,NA,NA,NA,lab,NA,over 5yr,NA,NA,
Olejnicek_2000,Culex,yes,pipiens ,molestus,Cmol,unambigious,11,strain,Cuba,Table 1,22,0.3,NA,NA,NA,,NA,NA,NA,NA,NA,lab,NA,over 5yr,NA,NA,
Olejnicek_2000,Culex,yes,pipiens ,molestus,Cmol,unambigious,11,strain,Cuba,Table 1,30,0.43,NA,NA,NA,,NA,NA,NA,NA,NA,lab,NA,over 5yr,NA,NA,
Olejnicek_2000,Culex,yes,pipiens ,molestus,Cmol,unambigious,12,strain,Mosul,Table 2,15,0.31,NA,NA,NA,,NA,NA,NA,NA,NA,lab,NA,over 5yr,NA,NA,
Olejnicek_2000,Culex,yes,pipiens ,molestus,Cmol,unambigious,12,strain,Mosul,Table 2,22,0.7,NA,NA,NA,,NA,NA,NA,NA,NA,lab,NA,over 5yr,NA,NA,
Olejnicek_2000,Culex,yes,pipiens ,molestus,Cmol,unambigious,12,strain,Mosul,Table 2,30,0.45,NA,NA,NA,,NA,NA,NA,NA,NA,lab,NA,over 5yr,NA,NA,
Oda_1999,Culex,yes,pipiens ,molestus,Cmol,unambigious,13,Species,Cmol,Table 1,21,0.906,mean,5 replicates a 100,0.041,,brewer's yeast and flnely ground mouse pellet powder were mixed and given as larval food,water suspension of 0.2g was added to each tray every day,1.5L per 100 larvae,NA,NA,field,"collected in Nagasaki City (32""47'N), Nagasaki in November 1979",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 6-10 generations,
Oda_1999,Culex,yes,pipiens ,molestus,Cmol,unambigious,13,Species,Cmol,Table 1,25,0.89,mean,5 replicates a 100,0.016,,brewer's yeast and flnely ground mouse pellet powder were mixed and given as larval food,water suspension of 0.2g was added to each tray every day,1.5L per 100 larvae,NA,NA,field,"collected in Nagasaki City (32""47'N), Nagasaki in November 1979",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 6-10 generations,
Oda_1999,Culex,yes,pipiens ,molestus,Cmol,unambigious,13,Species,Cmol,Table 1,30,0.502,mean,5 replicates a 100,0.095,,brewer's yeast and flnely ground mouse pellet powder were mixed and given as larval food,water suspension of 0.2g was added to each tray every day,1.5L per 100 larvae,NA,NA,field,"collected in Nagasaki City (32""47'N), Nagasaki in November 1979",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 6-10 generations,
Oda_1999,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,14,Species,Cqui,Table 1,21,0.782,mean,5 replicates a 100,0.053,,brewer's yeast and flnely ground mouse pellet powder were mixed and given as larval food,water suspension of 0.2g was added to each tray every day,1.5L per 100 larvae,NA,NA,field,"collected in Naha City (26""14'N), Okinawa, in March 1980",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 2-6 generations,
Oda_1999,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,14,Species,Cqui,Table 1,25,0.796,mean,5 replicates a 100,0.04,,brewer's yeast and flnely ground mouse pellet powder were mixed and given as larval food,water suspension of 0.2g was added to each tray every day,1.5L per 100 larvae,NA,NA,field,"collected in Naha City (26""14'N), Okinawa, in March 1980",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 2-6 generations,
Oda_1999,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,14,Species,Cqui,Table 1,30,0.954,mean,5 replicates a 100,0.05,,brewer's yeast and flnely ground mouse pellet powder were mixed and given as larval food,water suspension of 0.2g was added to each tray every day,1.5L per 100 larvae,NA,NA,field,"collected in Naha City (26""14'N), Okinawa, in March 1980",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 2-6 generations,
Shelton_1973,Culiseta,no,inornata,NA,Cino,unambigious,15,Species,Cino,Figure 1,12,0,mean,one or more replicates a 20,NA,,finely ground rabbit chow,unclear,500ml per 20 larvae,NA,NA,unclear,NA,NA,NA,eggs hatched at 27+-3 Degrees,
Shelton_1973,Culiseta,no,inornata,NA,Cino,unambigious,15,Species,Cino,Figure 1,15,0.59,mean,one or more replicates a 20,NA,,finely ground rabbit chow,unclear,500ml per 20 larvae,NA,NA,unclear,NA,NA,NA,eggs hatched at 27+-3 Degrees,
Shelton_1973,Culiseta,no,inornata,NA,Cino,unambigious,15,Species,Cino,Figure 1,20,0.59,mean,one or more replicates a 20,NA,,finely ground rabbit chow,unclear,500ml per 20 larvae,NA,NA,unclear,NA,NA,NA,eggs hatched at 27+-3 Degrees,
Shelton_1973,Culiseta,no,inornata,NA,Cino,unambigious,15,Species,Cino,Figure 1,23,0.34,mean,one or more replicates a 20,NA,,finely ground rabbit chow,unclear,500ml per 20 larvae,NA,NA,unclear,NA,NA,NA,eggs hatched at 27+-3 Degrees,
Shelton_1973,Culiseta,no,inornata,NA,Cino,unambigious,15,Species,Cino,Figure 1,25,0.34,mean,one or more replicates a 20,NA,,finely ground rabbit chow,unclear,500ml per 20 larvae,NA,NA,unclear,NA,NA,NA,eggs hatched at 27+-3 Degrees,
Shelton_1973,Culiseta,no,inornata,NA,Cino,unambigious,15,Species,Cino,Figure 1,30,0,mean,one or more replicates a 20,NA,,finely ground rabbit chow,unclear,500ml per 20 larvae,NA,NA,unclear,NA,NA,NA,eggs hatched at 27+-3 Degrees,
Shelton_1973,Culiseta,no,inornata,NA,Cino,unambigious,15,Species,Cino,Figure 1,32,0,mean,one or more replicates a 20,NA,,finely ground rabbit chow,unclear,500ml per 20 larvae,NA,NA,unclear,NA,NA,NA,eggs hatched at 27+-3 Degrees,
