citation_id,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,temperature,trait,statistic,SD,SE,extraction_note,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Madder_1983,Culex,yes,not specified,not specified,Cpip,likely pipiens since origin in Canada,5,Species,Cpip,Table 3,17,3.2,mean,NA,0.5,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,yes,not specified,not specified,Cpip,likely pipiens since origin in Canada,5,Species,Cpip,Table 3,20,2.5,mean,NA,NA,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,yes,not specified,not specified,Cpip,likely pipiens since origin in Canada,5,Species,Cpip,Table 3,23,2,mean,NA,0.3,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,yes,not specified,not specified,Cpip,likely pipiens since origin in Canada,5,Species,Cpip,Table 3,25,1.9,mean,NA,0.4,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,yes,not specified,not specified,Cpip,likely pipiens since origin in Canada,5,Species,Cpip,Table 3,30,1.3,mean,NA,0.4,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,no,restuans,NA,Cres,unambigious,6,Species,Cres,Table 3,15,3,mean,NA,NA,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,no,restuans,NA,Cres,unambigious,6,Species,Cres,Table 3,17,3,mean,NA,NA,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,no,restuans,NA,Cres,unambigious,6,Species,Cres,Table 3,20,2.4,mean,NA,0.5,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,no,restuans,NA,Cres,unambigious,6,Species,Cres,Table 3,23,1.8,mean,NA,0.6,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,no,restuans,NA,Cres,unambigious,6,Species,Cres,Table 3,25,1.6,mean,NA,0.6,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Madder_1983,Culex,no,restuans,NA,Cres,unambigious,6,Species,Cres,Table 3,30,1.4,mean,NA,0.4,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
Mahmood_1998,Culiseta,no,melanura,NA,Cmel,unambigious,7,NA,NA,Table 1,10,19.7,mean,0.6,NA,,80 %,16:8,lab,NA,F13-F17 generation,originally established from field stock collected from southern New Jersey,"Adults and larvae were maintained in an insectary at 24 ± 2°C under a photoperiod of 16:8 (L:D). Larvae were reared in uncovered pans containing deionized water with finely ground rat chow as food. Newly emerged adults were held in a 0.6-m3 cage and provided with 10% sucrose solution. 6- to 9-dold females were offered a restrained bobwhite quail (Colinus virginianus) at dusk for *°*3 h.1 The following morning, groups of (20-45) fresh blood fed females were isolated in 3.8-liter paper cages and transferred to environmental chambers at a photoperiod of 16:8 (L:D) h. Females were checked daily and late fed females were transferred individually to oviposition vials containing deionized water. The vials were plugged with cotton soaked in 10% sucrose solution as a source of nutrition for the gravid females. Oviposition vials were checked daily for egg rafts, and sugar solution was added to the cotton plugs as needed. Females that oviposited were removed from the vials and egg rafts were checked daily for hatch.",
Mahmood_1998,Culiseta,no,melanura,NA,Cmel,unambigious,7,NA,NA,Table 1,16,8.5,mean,0.5,NA,,80 %,16:8,lab,NA,F13-F17 generation,originally established from field stock collected from southern New Jersey,"Adults and larvae were maintained in an insectary at 24 ± 2°C under a photoperiod of 16:8 (L:D). Larvae were reared in uncovered pans containing deionized water with finely ground rat chow as food. Newly emerged adults were held in a 0.6-m3 cage and provided with 10% sucrose solution. 6- to 9-dold females were offered a restrained bobwhite quail (Colinus virginianus) at dusk for *°*3 h.1 The following morning, groups of (20-45) fresh blood fed females were isolated in 3.8-liter paper cages and transferred to environmental chambers at a photoperiod of 16:8 (L:D) h. Females were checked daily and late fed females were transferred individually to oviposition vials containing deionized water. The vials were plugged with cotton soaked in 10% sucrose solution as a source of nutrition for the gravid females. Oviposition vials were checked daily for egg rafts, and sugar solution was added to the cotton plugs as needed. Females that oviposited were removed from the vials and egg rafts were checked daily for hatch.",
Mahmood_1998,Culiseta,no,melanura,NA,Cmel,unambigious,7,NA,NA,Table 1,22,3,mean,0.3,NA,,80 %,16:8,lab,NA,F13-F17 generation,originally established from field stock collected from southern New Jersey,"Adults and larvae were maintained in an insectary at 24 ± 2°C under a photoperiod of 16:8 (L:D). Larvae were reared in uncovered pans containing deionized water with finely ground rat chow as food. Newly emerged adults were held in a 0.6-m3 cage and provided with 10% sucrose solution. 6- to 9-dold females were offered a restrained bobwhite quail (Colinus virginianus) at dusk for *°*3 h.1 The following morning, groups of (20-45) fresh blood fed females were isolated in 3.8-liter paper cages and transferred to environmental chambers at a photoperiod of 16:8 (L:D) h. Females were checked daily and late fed females were transferred individually to oviposition vials containing deionized water. The vials were plugged with cotton soaked in 10% sucrose solution as a source of nutrition for the gravid females. Oviposition vials were checked daily for egg rafts, and sugar solution was added to the cotton plugs as needed. Females that oviposited were removed from the vials and egg rafts were checked daily for hatch.",
Mahmood_1998,Culiseta,no,melanura,NA,Cmel,unambigious,7,NA,NA,Table 1,28,2,mean,0,NA,,80 %,16:8,lab,NA,F13-F17 generation,originally established from field stock collected from southern New Jersey,"Adults and larvae were maintained in an insectary at 24 ± 2°C under a photoperiod of 16:8 (L:D). Larvae were reared in uncovered pans containing deionized water with finely ground rat chow as food. Newly emerged adults were held in a 0.6-m3 cage and provided with 10% sucrose solution. 6- to 9-dold females were offered a restrained bobwhite quail (Colinus virginianus) at dusk for *°*3 h.1 The following morning, groups of (20-45) fresh blood fed females were isolated in 3.8-liter paper cages and transferred to environmental chambers at a photoperiod of 16:8 (L:D) h. Females were checked daily and late fed females were transferred individually to oviposition vials containing deionized water. The vials were plugged with cotton soaked in 10% sucrose solution as a source of nutrition for the gravid females. Oviposition vials were checked daily for egg rafts, and sugar solution was added to the cotton plugs as needed. Females that oviposited were removed from the vials and egg rafts were checked daily for hatch.",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,NA,NA,Table 1,18.3,2.85,mean,NA,NA,Transformed fahrenheit temperature to celsius and hours to days. Range Min-Max for hatching time available from Table 1,NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,NA,NA,Table 1,23.9,1.37,mean,NA,NA,Transformed fahrenheit temperature to celsius and hours to days. Range Min-Max for hatching time available from Table 1,NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,NA,NA,Table 1,29.4,1.21,mean,NA,NA,Transformed fahrenheit temperature to celsius and hours to days. Range Min-Max for hatching time available from Table 1,NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,NA,NA,Table 1,35,1.11,mean,NA,NA,Transformed fahrenheit temperature to celsius and hours to days. Range Min-Max for hatching time available from Table 1,NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Li_2019,Culex,yes,pipiens pallens,NA,Cpal,unambigious,9,NA,NA,Table 1,10,7.03,mean,NA,NA,Min and Max hatching time availble from Table 1,NA,NA,lab,NA,over 30yr,"originally collected in Wuxi in late 1970s. Maintained in key laboratory of parasitic disease prevention and control technology of the the national health commision of china for more than 30 years at 25+-1 degree, 75+-5% RH and 10h light/d","likely 25+-1 degree, 75+-5% RH and 10h light/day",study translated from Chinese
Li_2019,Culex,yes,pipiens pallens,NA,Cpal,unambigious,9,NA,NA,Table 1,15,5.46,mean,NA,NA,Min and Max hatching time availble from Table 1,NA,NA,lab,NA,over 30yr,"originally collected in Wuxi in late 1970s. Maintained in key laboratory of parasitic disease prevention and control technology of the the national health commision of china for more than 30 years at 25+-1 degree, 75+-5% RH and 10h light/d","likely 25+-1 degree, 75+-5% RH and 10h light/day",study translated from Chinese
Li_2019,Culex,yes,pipiens pallens,NA,Cpal,unambigious,9,NA,NA,Table 1,20,2.04,mean,NA,NA,Min and Max hatching time availble from Table 1,NA,NA,lab,NA,over 30yr,"originally collected in Wuxi in late 1970s. Maintained in key laboratory of parasitic disease prevention and control technology of the the national health commision of china for more than 30 years at 25+-1 degree, 75+-5% RH and 10h light/d","likely 25+-1 degree, 75+-5% RH and 10h light/day",study translated from Chinese
Li_2019,Culex,yes,pipiens pallens,NA,Cpal,unambigious,9,NA,NA,Table 1,25,2,mean,NA,NA,Min and Max hatching time availble from Table 1,NA,NA,lab,NA,over 30yr,"originally collected in Wuxi in late 1970s. Maintained in key laboratory of parasitic disease prevention and control technology of the the national health commision of china for more than 30 years at 25+-1 degree, 75+-5% RH and 10h light/d","likely 25+-1 degree, 75+-5% RH and 10h light/day",study translated from Chinese
Li_2019,Culex,yes,pipiens pallens,NA,Cpal,unambigious,9,NA,NA,Table 1,30,1.02,mean,NA,NA,Min and Max hatching time availble from Table 1,NA,NA,lab,NA,over 30yr,"originally collected in Wuxi in late 1970s. Maintained in key laboratory of parasitic disease prevention and control technology of the the national health commision of china for more than 30 years at 25+-1 degree, 75+-5% RH and 10h light/d","likely 25+-1 degree, 75+-5% RH and 10h light/day",study translated from Chinese
Li_2019,Culex,yes,pipiens pallens,NA,Cpal,unambigious,9,NA,NA,Table 1,35,1.01,mean,NA,NA,Min and Max hatching time availble from Table 1,NA,NA,lab,NA,over 30yr,"originally collected in Wuxi in late 1970s. Maintained in key laboratory of parasitic disease prevention and control technology of the the national health commision of china for more than 30 years at 25+-1 degree, 75+-5% RH and 10h light/d","likely 25+-1 degree, 75+-5% RH and 10h light/day",study translated from Chinese
VanDerLinde_1990,Culex,no,theileri,NA,Cthei,unambigious,10,NA,NA,Figure 1,12,17.1,mean,NA,NA,Transformed hours to days,NA,12:12,unclear,unclear,unclear,unclear,unclear,We only extracted data for Group A since Group B was exposed to 27 Degrees during the initial 12 hours and only afterwards transfered to the given temperatures.
VanDerLinde_1990,Culex,no,theileri,NA,Cthei,unambigious,10,NA,NA,Figure 1,15,4.9,mean,NA,NA,Transformed hours to days,NA,12:12,unclear,unclear,unclear,unclear,unclear,We only extracted data for Group A since Group B was exposed to 27 Degrees during the initial 12 hours and only afterwards transfered to the given temperatures.
VanDerLinde_1990,Culex,no,theileri,NA,Cthei,unambigious,10,NA,NA,Figure 1,18,3.9,mean,NA,NA,Transformed hours to days,NA,12:12,unclear,unclear,unclear,unclear,unclear,We only extracted data for Group A since Group B was exposed to 27 Degrees during the initial 12 hours and only afterwards transfered to the given temperatures.
VanDerLinde_1990,Culex,no,theileri,NA,Cthei,unambigious,10,NA,NA,Figure 1,21,2.5,mean,NA,NA,Transformed hours to days,NA,12:12,unclear,unclear,unclear,unclear,unclear,We only extracted data for Group A since Group B was exposed to 27 Degrees during the initial 12 hours and only afterwards transfered to the given temperatures.
VanDerLinde_1990,Culex,no,theileri,NA,Cthei,unambigious,10,NA,NA,Figure 1,24,1.8,mean,NA,NA,Transformed hours to days,NA,12:12,unclear,unclear,unclear,unclear,unclear,We only extracted data for Group A since Group B was exposed to 27 Degrees during the initial 12 hours and only afterwards transfered to the given temperatures.
VanDerLinde_1990,Culex,no,theileri,NA,Cthei,unambigious,10,NA,NA,Figure 1,27,1.5,mean,NA,NA,Transformed hours to days,NA,12:12,unclear,unclear,unclear,unclear,unclear,We only extracted data for Group A since Group B was exposed to 27 Degrees during the initial 12 hours and only afterwards transfered to the given temperatures.
VanDerLinde_1990,Culex,no,theileri,NA,Cthei,unambigious,10,NA,NA,Figure 1,30,1.4,mean,NA,NA,Transformed hours to days,NA,12:12,unclear,unclear,unclear,unclear,unclear,We only extracted data for Group A since Group B was exposed to 27 Degrees during the initial 12 hours and only afterwards transfered to the given temperatures.
VanDerLinde_1990,Culex,no,theileri,NA,Cthei,unambigious,10,NA,NA,Figure 1,33,1.1,mean,NA,NA,Transformed hours to days,NA,12:12,unclear,unclear,unclear,unclear,unclear,We only extracted data for Group A since Group B was exposed to 27 Degrees during the initial 12 hours and only afterwards transfered to the given temperatures.
VanDerLinde_1990,Culex,no,theileri,NA,Cthei,unambigious,10,NA,NA,Figure 1,36,1.1,mean,NA,NA,Transformed hours to days,NA,12:12,unclear,unclear,unclear,unclear,unclear,We only extracted data for Group A since Group B was exposed to 27 Degrees during the initial 12 hours and only afterwards transfered to the given temperatures.
